anime_id,name,genre,type,episodes,rating,members
226,InuYasha,"Action, Adventure, Comedy, Demons, Fantasy, Magic, Romance, Shounen, Supernatural",TV,167,7.89,281632
227,Konjiki no Gash Bell!!,"Adventure, Comedy, Magic, Shounen, Supernatural",TV,150,7.66,51403
228,Kyou kara Maou!,"Adventure, Comedy, Demons, Fantasy, Shoujo",TV,78,7.88,58150
229,Madlax,"Drama, Magic, Military, Mystery, Psychological, Shounen, Supernatural",TV,26,7.17,25995
230,Jungle wa Itsumo Hare nochi Guu,"Comedy, School, Slice of Life",TV,26,7.97,22214
231,Jungle wa Itsumo Hare nochi Guu Deluxe,"Comedy, Slice of Life",OVA,6,7.95,8847
232,Jungle wa Itsumo Hare nochi Guu Final,"Comedy, Slice of Life",OVA,7,7.78,7576
233,Hoshi no Koe,"Drama, Mecha, Romance, Sci-Fi, Space",OVA,1,7.53,85492
234,Ikkitousen,"Ecchi, Martial Arts, School, Super Power",TV,13,6.62,88969
235,Hitsuji no Uta,"Drama, Horror, Vampire",OVA,4,6.43,10574
236,Happy☆Lesson,"Comedy, Harem, Romance, School",OVA,5,6.76,8067
237,Happy☆Lesson (TV),"Comedy, Drama, Harem, Romance, Slice of Life",TV,13,6.81,17109
238,Happy☆Lesson: Advance,"Comedy, Harem, Romance, Slice of Life",TV,13,6.97,9989
239,Happy☆Lesson: The Final,"Comedy, Harem, Romance, School",OVA,3,6.96,6371
240,Hajime no Ippo,"Comedy, Drama, Shounen, Sports",TV,75,8.83,157670
241,Hajime no Ippo: Champion Road,"Comedy, Shounen, Sports",Special,1,8.39,47840
242,Hajime no Ippo: Mashiba vs. Kimura,"Comedy, Shounen, Sports",OVA,1,8.28,40623
243,Gunparade March: Arata Naru Kougunka,"Drama, Mecha, Military, Romance, Sci-Fi, Shounen, Slice of Life",TV,12,6.96,9902
244,Gungrave,"Action, Drama, Sci-Fi, Seinen, Super Power",TV,26,7.97,95825
245,Golden Boy,"Adventure, Comedy, Ecchi",OVA,6,8.05,113040
246,Bleach,"Action, Comedy, Shounen, Super Power, Supernatural",TV,366,7.95,624055
247,Hellsing,"Action, Horror, Seinen, Supernatural, Vampire",TV,13,7.64,308995
248,Gad Guard,"Adventure, Mecha, Sci-Fi, Shounen",TV,26,6.82,8315
249,Noir,"Action, Drama, Mystery",TV,26,7.41,66036
250,Mahoutsukai ni Taisetsu na Koto,"Drama, Magic, Shounen, Slice of Life",TV,12,6.87,15152
251,Kiddy Grade,"Action, Ecchi, Mecha, Sci-Fi, Super Power",TV,24,7.31,30766
252,Love♥Love?,"Comedy, Ecchi, Harem, Romance",TV,9,6.05,15114
253,Mahoromatic: Automatic Maiden,"Comedy, Ecchi, Military, Romance, Sci-Fi",TV,12,7.29,36656
254,Mahoromatic 2,"Comedy, Drama, Ecchi, Military, Romance, Sci-Fi",TV,14,7.3,21393
255,Viewtiful Joe,"Action, Comedy, Sci-Fi, Shounen",TV,51,6.92,5420
256,Kyougoku Natsuhiko: Kousetsu Hyaku Monogatari,"Fantasy, Historical, Horror, Mystery, Psychological, Supernatural",TV,13,7.27,20859
257,Animal Yokochou,"Adventure, Comedy, Fantasy, Shoujo",TV,51,7.04,1511
258,Akane Maniax,"Comedy, Mecha, Romance",OVA,3,5.83,13988
259,Angel Heart,"Action, Drama, Mystery, Romance, Seinen",TV,50,7.38,9550
260,Akage no Anne,"Drama, Historical, Slice of Life",TV,50,7.6,9460
261,Area 88 (TV),"Action, Drama, Military, Romance, Shounen",TV,12,7.17,7563
262,Argento Soma,"Action, Adventure, Drama, Mecha, Military, Sci-Fi",TV,25,6.94,12809
263,B&#039;T X,"Adventure, Mecha, Sci-Fi, Shounen",TV,25,7.17,5913
264,Grappler Baki (TV),"Shounen, Sports",TV,24,7.41,23220
265,Bakuten Shoot Beyblade,"Action, Adventure, Comedy, Sci-Fi, Shounen, Sports",TV,51,6.81,49467
266,Comic Party,"Comedy, Drama",TV,13,6.68,12988
267,Seikai no Monshou,"Action, Military, Romance, Sci-Fi, Space",TV,13,7.83,26379
268,D.C.S.S: Da Capo Second Season,"Comedy, Drama, Harem, Romance, Supernatural",TV,26,7.15,23364
269,Dear Boys,"Drama, Shounen, Sports",TV,26,6.99,12662
270,Di Gi Charat,"Comedy, Fantasy, Sci-Fi",TV,16,6.85,12227
271,Divergence Eve,"Adventure, Comedy, Drama, Mecha, Military, Sci-Fi, Space",TV,13,6.08,7833
